Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.125,0.807484805961355,0.566243957566061,0,0,0,6.203760800518,0.0551931956930665,-9.21965982208382E-36,2.30366305606409E-18,0.0551931956930665,0,0.0400950472946025,0,0,0,0,0,0,package://double_arm_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/base_link.STL,,底座-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yao_Link,2.77555756156289E-16,0,-0.233812061087759,0,0,0,14.975889643634,1.68932797249582,0,3.77992531563176E-17,1.68475843799339,-2.29291639558158E-17,0.0371712031763964,0,0,0,0,0,0,package://double_arm_robot/meshes/yao_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/yao_Link.STL,,腰身-1;腰肩连杆-2;腰肩连杆-1,Origin_yao_joint,Axis_yao_joint,yao_joint,continuous,-1.125,0,0.80748,-1.5708,1.2983,-3.1416,base_link,0,0,1,,,,,,,,,,,,
r_Link,1.11022302462516E-16,-1.66533453693773E-16,0.0669618145391296,0,0,0,0.153305432748164,0.000503274623701957,-3.79470760369927E-19,-5.78229015238496E-19,0.000435379746264521,5.89057192344332E-19,0.000241773436046529,0,0,0,0,0,0,package://double_arm_robot/meshes/r_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/r_Link.STL,,肩连杆-2,Origin_r_joint,Axis_r_joint,r_joint,continuous,0,0.25246,-0.65672,-1.5708,-0.39051,0,yao_Link,0,0,1,,,,,,,,,,,,
rjb_Link,-6.32678639478357E-08,-4.46311429369572E-07,0.0251799998032097,0,0,0,0.243891100878861,0.000862201995142612,-3.75611319745377E-10,3.45279526168662E-11,0.000749440520195565,1.72883617672952E-10,0.000579506045254298,0,0,0,0,0,0,package://double_arm_robot/meshes/rjb_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/rjb_Link.STL,,肩臂关节-2,Origin_rjb_joint,Axis_rjb_joint,rjb_joint,revolute,0,0,0.10754,3.1416,-1.4917,-1.5708,r_Link,0,1,0,0,0,0,3.14,,,,,,,,
rb_Link,0.00276174805506835,-5.25717192223496E-07,0.182206640005679,0,0,0,0.2480854466101,0.00177958996518208,-4.5370137477353E-09,-1.69054299533855E-05,0.00181009821534032,-6.39250486732571E-10,0.000439918103900342,0,0,0,0,0,0,package://double_arm_robot/meshes/rb_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/rb_Link.STL,,臂腕关节-2,Origin_rb_joint,Axis_rb_joint,rb_joint,continuous,0,0,0.074026,0,0,2.0331,rjb_Link,0,0,1,,,,,,,,,,,,
rw_Link,2.84768980618466E-08,-6.19162654480476E-09,0.0253486113712054,0,0,0,0.244923378836705,0.000865180622488072,-6.72942956723023E-10,1.67325732642384E-10,0.000751349065549279,1.28699428304996E-10,0.000580753904014795,0,0,0,0,0,0,package://double_arm_robot/meshes/rw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/rw_Link.STL,,腕关节-2,Origin_rw_joint,Axis_rw_joint,rw_joint,revolute,0,0,0.27797,0,0.63873,0,rb_Link,0,1,0,0,0,0,3.14,,,,,,,,
rs_Link,2.55351295663786E-15,-6.66133814775094E-16,0.135094994862889,0,0,0,0.155545815452268,0.00053649500591798,1.35525271560688E-20,-1.01982766849418E-18,0.00048785930887372,1.55176435936988E-18,0.000240768812265731,0,0,0,0,0,0,package://double_arm_robot/meshes/rs_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/rs_Link.STL,,腕手连杆-2,Origin_rs_joint,Axis_rs_joint,rs_joint,continuous,0,0,0.067802,0,0,-1.2377,rw_Link,0,0,1,,,,,,,,,,,,
l_Link,-2.77555756156289E-16,4.44089209850063E-16,0.0669618145391302,0,0,0,0.153305432748165,0.000503274623701959,-5.28548559086683E-19,1.68574825405926E-18,0.000435379746264523,-1.11246539454985E-18,0.000241773436046529,0,0,0,0,0,0,package://double_arm_robot/meshes/l_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/l_Link.STL,,肩连杆-1,Origin_l_joint,Axis_l_joint,l_joint,continuous,0,-0.25246,-0.65672,-1.5708,-0.52774,3.1416,yao_Link,0,0,1,,,,,,,,,,,,
ljb_Link,3.57822389496221E-08,8.45718606257151E-09,0.0251794676379651,0,0,0,0.24388844658706,0.000862202033890704,-4.4275673375554E-10,-3.87262929515096E-12,0.00074944050688781,9.90855050325657E-11,0.000579506039789357,0,0,0,0,0,0,package://double_arm_robot/meshes/ljb_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/ljb_Link.STL,,肩臂关节-1,Origin_ljb_joint,Axis_ljb_joint,ljb_joint,revolute,0,0,0.10754,0,0.56769,-1.5708,l_Link,0,1,0,0,0,0,3.14,,,,,,,,
lb_Link,0.00276184664184054,-5.03633065918052E-07,0.0772804730071093,0,0,0,0.248084871531775,0.00177958843288729,-3.66287735776086E-09,-1.69047530917435E-05,0.00181009557204282,-2.42344449521113E-10,0.000439916657544921,0,0,0,0,0,0,package://double_arm_robot/meshes/lb_Link.STL,1,1,1,1,0,0,0,0,0,0,package://double_arm_robot/meshes/lb_Link.STL,,臂腕关节-1,Origin_lb_joint,Axis_lb_joint,lb_joint,continuous,0,0,0.17895,0,0,-1.7458,ljb_Link,0,0,1,,,,,,,,,,,,
